type,maturity,coupon,bid,ask,price,ytm,ttm_years,id
bill,2026-11-24,0.0,99.08577777777778,99.08822222222223,99.08822222222223,0.0382,0.243668720054757,B20261124_0
bill,2026-11-27,0.0,99.05208333333333,99.05461111111111,99.05461111111111,0.0382,0.2518822724161533,B20261127_0
note,2026-11-30,0.0125,99.34375,99.375,99.375,0.0379,0.2600958247775496,N20261130_12
note,2026-11-30,0.0163,99.4375,99.46875,99.46875,0.0378,0.2600958247775496,N20261130_16
note,2026-11-30,0.0425,100.0625,100.09375,100.09375,0.0378,0.2600958247775496,N20261130_42
bill,2026-12-01,0.0,99.01041666666667,99.01305555555555,99.01305555555555,0.0382,0.26283367556468173,B20261201_0
bill,2026-12-03,0.0,98.98958333333333,98.99227777777779,98.99227777777779,0.0382,0.2683093771389459,B20261203_0
bill,2026-12-08,0.0,98.93183333333333,98.93466666666667,98.93466666666667,0.0385,0.28199863107460643,B20261208_0
bill,2026-12-10,0.0,98.91955555555556,98.92244444444445,98.92244444444445,0.0382,0.2874743326488706,B20261210_0
bill,2026-12-15,0.0,98.85852777777778,98.86155555555555,98.86155555555555,0.038599999999999995,0.30116358658453113,B20261215_0
note,2026-12-15,0.0438,100.15625,100.1875,100.1875,0.0373,0.30116358658453113,N20261215_44
bill,2026-12-17,0.0,98.84375,98.84683333333332,98.84683333333332,0.0384,0.3066392881587953,B20261217_0
bill,2026-12-22,0.0,98.77877777777778,98.782,98.782,0.0387,0.3203285420944558,B20261222_0
bill,2026-12-24,0.0,98.75772222222223,98.761,98.761,0.0387,0.3258042436687201,B20261224_0
bill,2026-12-29,0.0,98.69825,98.70166666666667,98.70166666666667,0.039,0.3394934976043806,B20261229_0
bill,2026-12-31,0.0,98.68402777777779,98.6875,98.6875,0.0388,0.34496919917864477,B20261231_0
note,2026-12-31,0.0125,99.125,99.15625,99.15625,0.0381,0.34496919917864477,N20261231_12
note,2026-12-31,0.0175,99.28125,99.3125,99.3125,0.0388,0.34496919917864477,N20261231_18
note,2026-12-31,0.0425,100.09375,100.125,100.125,0.0381,0.34496919917864477,N20261231_42
bill,2027-01-07,0.0,98.61033333333333,98.614,98.614,0.038900000000000004,0.36413415468856947,B20270107_0
bill,2027-01-14,0.0,98.53277777777778,98.53663888888889,98.53663888888889,0.038900000000000004,0.38329911019849416,B20270114_0
note,2027-01-15,0.04,100.03125,100.0625,100.0625,0.038,0.3860369609856263,N20270115_40
bill,2027-01-21,0.0,98.45483333333334,98.45888888888888,98.45888888888888,0.0391,0.4024640657084189,B20270121_0
bill,2027-01-28,0.0,98.38074999999999,98.385,98.385,0.0392,0.4216290212183436,B20270128_0
note,2027-01-31,0.015,98.96875,99.0,99.0,0.0395,0.42984257357973993,N20270131_15
note,2027-01-31,0.041299999999999996,100.0625,100.09375,100.09375,0.0391,0.42984257357973993,N20270131_41
bill,2027-02-04,0.0,98.29777777777777,98.30222222222223,98.30222222222223,0.0393,0.4407939767282683,B20270204_0
bill,2027-02-11,0.0,98.21866666666666,98.22330555555556,98.22330555555556,0.0395,0.459958932238193,B20270211_0
note,2027-02-15,0.0225,99.21875,99.25,99.25,0.0392,0.47091033538672145,N20270215_22
note,2027-02-15,0.041299999999999996,100.0625,100.09375,100.09375,0.0391,0.47091033538672145,N20270215_41
note,2027-02-15,0.0663,101.15625,101.1875,101.1875,0.0397,0.47091033538672145,N20270215_66
bill,2027-02-18,0.0,98.13916666666667,98.14399999999999,98.14399999999999,0.0397,0.4791238877481177,B20270218_0
bill,2027-02-25,0.0,98.05927777777778,98.06430555555555,98.06430555555555,0.0397,0.49828884325804246,B20270225_0
note,2027-02-28,0.0113,98.59375,98.625,98.625,0.0391,0.5065023956194388,N20270228_11
note,2027-02-28,0.018799999999999997,98.96875,99.0,99.0,0.0391,0.5065023956194388,N20270228_19
note,2027-02-28,0.041299999999999996,100.0625,100.09375,100.09375,0.0395,0.5065023956194388,N20270228_41
note,2027-03-15,0.0425,100.15625,100.1875,100.1875,0.038900000000000004,0.5475701574264202,N20270315_42
bill,2027-03-18,0.0,97.88461111111111,97.89022222222222,97.89022222222222,0.0385,0.5557837097878165,B20270318_0
note,2027-03-31,0.0063,98.0625,98.09375,98.09375,0.0394,0.5913757700205339,N20270331_6
note,2027-03-31,0.025,99.15625,99.1875,99.1875,0.0394,0.5913757700205339,N20270331_25
note,2027-03-31,0.0388,99.90625,99.9375,99.9375,0.0398,0.5913757700205339,N20270331_39
bill,2027-04-15,0.0,97.53388888888888,97.54027777777777,97.54027777777777,0.039599999999999996,0.6324435318275154,B20270415_0
note,2027-04-15,0.045,100.28125,100.3125,100.3125,0.0398,0.6324435318275154,N20270415_45
note,2027-04-30,0.005,97.65625,97.6875,97.6875,0.0404,0.6735112936344969,N20270430_5
note,2027-04-30,0.0275,99.09375,99.125,99.125,0.0407,0.6735112936344969,N20270430_28
note,2027-04-30,0.0375,99.75,99.78125,99.78125,0.0406,0.6735112936344969,N20270430_38
